sigma segsites pi thetaW tajD het_o fis gen_dist_mean gen_dist_var gen_dist_skew gen_sp_corr ibs_mean ibs_var ibs_skew ibs_blocks_per_pair ibs_blocks_over_1e6_per_pair ibs_mean_spat_corr ibs_1e6blocks_spat_corr ibs_skew_spat_corr ibs_blocks_spat_corr sfs_0 sfs_1 sfs_2 sfs_3 sfs_4 sfs_5 sfs_6 sfs_7 sfs_8 sfs_9 sfs_10 sfs_11 sfs_12 sfs_13 sfs_14 sfs_15 sfs_16 sfs_17 sfs_18 sfs_19 sfs_20 sfs_21 sfs_22 sfs_23 sfs_24 sfs_25 sfs_26 sfs_27 sfs_28 sfs_29 sfs_30 sfs_31 sfs_32 sfs_33 sfs_34 sfs_35 sfs_36 sfs_37 sfs_38 sfs_39 sfs_40 sfs_41 sfs_42 sfs_43 sfs_44 sfs_45 sfs_46 sfs_47 sfs_48 sfs_49 sfs_50 sfs_51 sfs_52 sfs_53 sfs_54 sfs_55 sfs_56 sfs_57 sfs_58 sfs_59 sfs_60 sfs_61 sfs_62 sfs_63 sfs_64 sfs_65 sfs_66 sfs_67 sfs_68 sfs_69 sfs_70 sfs_71 sfs_72 sfs_73 sfs_74 sfs_75 sfs_76 sfs_77 sfs_78 sfs_79 sfs_80 sfs_81 sfs_82 sfs_83 sfs_84 sfs_85 sfs_86 sfs_87 sfs_88 sfs_89 sfs_90 sfs_91 sfs_92 sfs_93 sfs_94 sfs_95 sfs_96 sfs_97 sfs_98 sfs_99 sfs_100 sfs_101 sfs_102 sfs_103 sfs_104 sfs_105 sfs_106 sfs_107 sfs_108 sfs_109 sfs_110 sfs_111 sfs_112 sfs_113 sfs_114 sfs_115 sfs_116 sfs_117 sfs_118 sfs_119 sfs_120
0.43151409522956374 13824.0 2.5675822128851542e-05 2.5788470961527583e-05 -0.014698077911094957 0.17894844714506172 0.017223227526502276 2.5683770929602967e-05 7.90048732918263e-12 -0.7443510998790791 -0.005192367940023716 38684.68256262265 12989568522.060553 76.67588158119568 2568.1221201413427 2.99773851590106 0.013766576711322713 0.001498011168525716 0.01074819353360556 -0.003289394914014683 0.0 2510.0 1088.0 928.0 649.0 471.0 492.0 416.0 357.0 368.0 295.0 361.0 216.0 213.0 134.0 186.0 195.0 134.0 199.0 156.0 134.0 94.0 129.0 97.0 171.0 105.0 112.0 75.0 66.0 77.0 44.0 84.0 63.0 68.0 67.0 55.0 48.0 62.0 62.0 84.0 31.0 60.0 40.0 46.0 73.0 50.0 42.0 45.0 72.0 50.0 99.0 75.0 34.0 65.0 34.0 24.0 73.0 59.0 67.0 24.0 65.0 16.0 62.0 49.0 44.0 24.0 46.0 13.0 18.0 37.0 50.0 31.0 30.0 19.0 20.0 19.0 34.0 54.0 8.0 64.0 14.0 41.0 50.0 31.0 18.0 20.0 29.0 29.0 27.0 33.0 9.0 10.0 12.0 7.0 49.0 35.0 18.0 15.0 37.0 10.0 33.0 52.0 84.0 14.0 21.0 35.0 0.0 35.0 17.0 73.0 14.0 27.0 24.0 8.0 18.0 2.0 8.0 2.0 0.0 32.0 0.0
0.4484413510229385 14610.0 2.7053707282913166e-05 2.7254742530954712e-05 -0.024819700696113247 0.18432922655715264 -0.0016920915153093167 2.7054751141881867e-05 6.777567966494668e-12 -0.9696746507430886 -0.014105146294299886 36729.37592470784 12908045598.968016 113.1819742840195 2703.537515896566 2.970185106683623 -0.015807666632052172 -0.03040066799797741 -0.012091022881163158 -0.008106101205966243 0.0 2765.0 1133.0 997.0 591.0 505.0 553.0 428.0 365.0 312.0 493.0 159.0 247.0 196.0 239.0 232.0 228.0 158.0 132.0 126.0 101.0 117.0 102.0 92.0 150.0 161.0 94.0 127.0 129.0 133.0 76.0 128.0 101.0 63.0 126.0 61.0 59.0 86.0 48.0 58.0 50.0 22.0 34.0 25.0 49.0 68.0 65.0 67.0 57.0 29.0 23.0 80.0 18.0 38.0 80.0 46.0 99.0 41.0 46.0 21.0 18.0 9.0 70.0 56.0 61.0 53.0 82.0 55.0 17.0 54.0 26.0 15.0 66.0 32.0 39.0 23.0 31.0 21.0 35.0 7.0 26.0 32.0 7.0 40.0 40.0 15.0 75.0 12.0 27.0 42.0 20.0 47.0 21.0 29.0 70.0 26.0 24.0 1.0 5.0 11.0 10.0 9.0 24.0 26.0 21.0 33.0 52.0 10.0 28.0 0.0 55.0 26.0 3.0 5.0 36.0 32.0 25.0 9.0 3.0 34.0 0.0
0.2593670391638059 15991.0 2.937137675070028e-05 2.9830977947467273e-05 -0.05184306417125739 0.18816104892335273 -0.024658012774644612 2.9365296316516528e-05 8.218819959510414e-12 -0.43795824401572264 0.02021008211219866 33841.81028076968 10459010068.825697 146.879059821124 2935.7722198671754 2.6641232160519994 -0.005515352918318678 -0.010698266224145414 0.016028189703017417 0.009444449319144994 0.0 3227.0 1539.0 887.0 863.0 721.0 453.0 357.0 367.0 300.0 202.0 256.0 241.0 217.0 254.0 225.0 188.0 187.0 195.0 80.0 88.0 94.0 199.0 117.0 114.0 86.0 62.0 66.0 99.0 71.0 137.0 70.0 25.0 90.0 89.0 96.0 60.0 42.0 66.0 50.0 67.0 60.0 79.0 77.0 29.0 50.0 92.0 58.0 136.0 153.0 95.0 44.0 52.0 38.0 28.0 41.0 53.0 23.0 33.0 44.0 61.0 29.0 65.0 44.0 71.0 14.0 15.0 60.0 45.0 36.0 112.0 132.0 84.0 47.0 59.0 22.0 19.0 55.0 52.0 36.0 63.0 47.0 17.0 27.0 24.0 61.0 57.0 45.0 6.0 4.0 45.0 28.0 39.0 17.0 20.0 11.0 69.0 24.0 76.0 15.0 21.0 22.0 32.0 40.0 27.0 7.0 47.0 13.0 27.0 35.0 28.0 21.0 44.0 1.0 28.0 10.0 18.0 33.0 10.0 42.0 0.0
0.29621955007524703 16235.0 2.9264542016806718e-05 3.028615639904516e-05 -0.11350670688584046 0.18211579919926085 -0.01084934247642991 2.926198275822763e-05 8.124637656429011e-12 -0.4807120767797354 -0.02235532567440412 33971.26991036048 10198984972.594234 67.70807860521558 2924.3655883599376 2.8706031925413193 -0.005588689855253586 -0.0038553734365299433 0.009822823644994755 -0.01312828020120361 0.0 3087.0 1693.0 1048.0 839.0 589.0 503.0 346.0 257.0 255.0 423.0 357.0 327.0 192.0 222.0 194.0 171.0 166.0 128.0 187.0 189.0 130.0 122.0 163.0 107.0 160.0 106.0 125.0 51.0 78.0 55.0 76.0 85.0 85.0 49.0 101.0 91.0 70.0 60.0 36.0 66.0 111.0 143.0 52.0 64.0 85.0 33.0 90.0 30.0 47.0 36.0 56.0 34.0 12.0 79.0 58.0 80.0 25.0 75.0 66.0 24.0 58.0 76.0 18.0 58.0 30.0 49.0 23.0 27.0 53.0 12.0 19.0 20.0 65.0 19.0 63.0 49.0 24.0 58.0 83.0 58.0 39.0 33.0 25.0 45.0 82.0 28.0 28.0 11.0 27.0 11.0 17.0 15.0 49.0 33.0 46.0 8.0 66.0 46.0 17.0 57.0 44.0 18.0 36.0 12.0 25.0 26.0 33.0 27.0 28.0 30.0 33.0 34.0 6.0 12.0 29.0 29.0 10.0 63.0 6.0 0.0
0.22223411986588568 16391.0 2.99051568627451e-05 3.057717213038184e-05 -0.0739539811858382 0.1864214101234417 -0.02615053137050932 2.9899638119082717e-05 9.04712677871146e-12 -0.9622696931138476 -0.006260421505805607 33252.57214655537 10679491855.815649 118.33301629092595 2987.3015536723165 3.042514124293785 0.007026349299000653 -0.016779248642670375 -0.010772199340162719 -0.003449714856763093 0.0 3484.0 1530.0 1085.0 803.0 580.0 513.0 364.0 365.0 280.0 199.0 241.0 200.0 222.0 196.0 113.0 172.0 115.0 192.0 155.0 99.0 117.0 123.0 112.0 132.0 178.0 139.0 172.0 88.0 151.0 180.0 131.0 85.0 147.0 92.0 98.0 87.0 73.0 63.0 58.0 69.0 68.0 71.0 83.0 61.0 47.0 42.0 32.0 31.0 53.0 63.0 28.0 47.0 45.0 30.0 42.0 99.0 35.0 74.0 50.0 43.0 69.0 88.0 24.0 115.0 52.0 37.0 31.0 34.0 19.0 45.0 31.0 21.0 18.0 22.0 46.0 44.0 28.0 30.0 38.0 51.0 23.0 21.0 37.0 35.0 55.0 24.0 86.0 29.0 50.0 81.0 65.0 30.0 70.0 40.0 68.0 24.0 11.0 6.0 14.0 15.0 76.0 45.0 14.0 68.0 18.0 37.0 44.0 6.0 37.0 4.0 16.0 18.0 9.0 31.0 35.0 16.0 1.0 16.0 26.0 0.0
0.2588131961346842 17056.0 3.1449700280112045e-05 3.181771995947732e-05 -0.038921178817713974 0.1857098186366479 -0.01438752999035791 3.14477934708328e-05 8.2248757167068e-12 -0.6135488612326774 0.0320344320253202 31623.584623675753 8810248715.635221 74.21340959168809 3143.709905327116 2.516320474777448 -0.00662594062735114 -0.005176826816682833 0.0035397884892961486 0.01807415841268343 0.0 3105.0 1695.0 959.0 756.0 737.0 474.0 390.0 451.0 466.0 414.0 299.0 298.0 241.0 205.0 201.0 230.0 232.0 83.0 178.0 162.0 134.0 177.0 128.0 99.0 132.0 108.0 111.0 63.0 105.0 88.0 114.0 122.0 117.0 164.0 100.0 149.0 74.0 111.0 60.0 55.0 70.0 68.0 112.0 102.0 81.0 40.0 120.0 103.0 44.0 51.0 47.0 47.0 28.0 74.0 43.0 21.0 22.0 43.0 70.0 21.0 49.0 36.0 15.0 19.0 33.0 49.0 22.0 27.0 27.0 54.0 67.0 58.0 67.0 53.0 33.0 57.0 31.0 35.0 24.0 22.0 48.0 21.0 26.0 41.0 83.0 115.0 59.0 47.0 29.0 36.0 28.0 11.0 43.0 19.0 39.0 15.0 10.0 41.0 25.0 32.0 21.0 11.0 29.0 29.0 26.0 15.0 9.0 35.0 70.0 36.0 17.0 12.0 5.0 24.0 33.0 29.0 17.0 13.0 85.0 0.0
0.43740338138291157 15541.0 3.1107633053221286e-05 2.899150949168838e-05 0.24560881706646584 0.19846642215215668 -0.009821422364472731 3.110986974539848e-05 9.499379171658175e-12 -0.7177927644422702 -0.0161163830919286 31943.16292496731 10204618993.797047 107.28461089604019 3109.323209492866 2.91298205961294 0.009413429878499248 -0.0054898593819480935 -0.009427576719675241 -0.008883843021574288 0.0 2902.0 1227.0 753.0 719.0 508.0 426.0 629.0 509.0 249.0 326.0 231.0 213.0 145.0 192.0 136.0 114.0 164.0 187.0 207.0 120.0 131.0 207.0 150.0 144.0 91.0 66.0 88.0 88.0 100.0 200.0 78.0 127.0 97.0 62.0 50.0 62.0 135.0 82.0 83.0 115.0 148.0 85.0 81.0 83.0 102.0 88.0 92.0 54.0 47.0 92.0 76.0 54.0 51.0 33.0 39.0 76.0 24.0 41.0 82.0 109.0 101.0 56.0 41.0 43.0 41.0 21.0 62.0 35.0 34.0 42.0 32.0 27.0 76.0 25.0 69.0 32.0 43.0 45.0 64.0 73.0 37.0 32.0 49.0 20.0 15.0 9.0 36.0 56.0 25.0 77.0 22.0 19.0 15.0 28.0 10.0 51.0 30.0 83.0 20.0 22.0 43.0 47.0 11.0 6.0 2.0 20.0 9.0 0.0 21.0 13.0 17.0 16.0 19.0 0.0 15.0 48.0 11.0 16.0 39.0 0.0
0.2646238286469117 16876.0 3.285802941176471e-05 3.1481932577165765e-05 0.147085712622281 0.191213360195939 0.010115821657261232 3.2863019445381103e-05 9.829626743694418e-12 -0.6835134023001127 -0.04992574343956202 30276.21129317869 8377043907.517179 83.22012386520653 3284.6948721570843 2.67297640909733 0.013238232958112653 0.035227377545325116 0.037606478359388025 -0.02572629110597971 0.0 3194.0 1661.0 1105.0 490.0 470.0 448.0 329.0 425.0 327.0 392.0 257.0 302.0 275.0 193.0 206.0 239.0 206.0 201.0 128.0 167.0 124.0 145.0 131.0 113.0 125.0 171.0 241.0 131.0 82.0 92.0 64.0 96.0 124.0 78.0 113.0 109.0 85.0 80.0 105.0 113.0 81.0 63.0 87.0 93.0 79.0 38.0 48.0 72.0 42.0 102.0 75.0 83.0 55.0 35.0 66.0 53.0 54.0 29.0 77.0 94.0 40.0 27.0 58.0 48.0 40.0 61.0 42.0 108.0 70.0 87.0 27.0 72.0 37.0 22.0 43.0 45.0 61.0 46.0 39.0 22.0 58.0 15.0 31.0 29.0 40.0 37.0 43.0 48.0 27.0 46.0 10.0 62.0 93.0 29.0 8.0 18.0 25.0 21.0 21.0 43.0 25.0 60.0 55.0 32.0 46.0 29.0 13.0 47.0 47.0 10.0 9.0 17.0 0.0 4.0 0.0 0.0 44.0 12.0 64.0 0.0
0.2610469916262857 17714.0 3.3535584033613446e-05 3.304520939037179e-05 0.04993526933179165 0.18497327913891082 0.003199537905088345 3.354210418435297e-05 2.2070393590040625e-11 -0.4223689610057971 0.012786581197113678 29632.407211511112 12429692891.31265 138.68805784761182 3355.420613601018 4.415241057542768 -0.010297108078858905 -0.010431961039970185 0.009158373511026947 0.006547675125849838 0.0 3052.0 1826.0 1156.0 1221.0 428.0 530.0 292.0 354.0 283.0 344.0 368.0 305.0 221.0 263.0 201.0 222.0 113.0 130.0 189.0 128.0 125.0 165.0 154.0 100.0 62.0 104.0 78.0 111.0 122.0 81.0 78.0 55.0 62.0 68.0 44.0 80.0 25.0 68.0 75.0 29.0 109.0 61.0 58.0 88.0 111.0 84.0 119.0 73.0 95.0 57.0 115.0 72.0 57.0 48.0 48.0 42.0 123.0 116.0 68.0 75.0 63.0 126.0 125.0 29.0 45.0 47.0 91.0 59.0 72.0 49.0 44.0 29.0 72.0 39.0 79.0 76.0 39.0 27.0 78.0 27.0 42.0 20.0 26.0 77.0 20.0 17.0 54.0 30.0 17.0 73.0 65.0 80.0 22.0 31.0 16.0 24.0 66.0 51.0 24.0 13.0 49.0 14.0 29.0 49.0 45.0 69.0 27.0 64.0 72.0 34.0 8.0 39.0 28.0 74.0 32.0 38.0 39.0 44.0 45.0 0.0
0.20595654321397314 18509.0 3.6001971988795525e-05 3.45282703289145e-05 0.1436239918044094 0.2021214904460893 -0.029746091721010535 3.599003353840475e-05 1.0635984983871318e-11 -0.7436408200347474 0.03231414593145592 27640.14729269933 8742014912.48805 166.88634966554918 3597.7853913534896 2.9102853913534896 -0.011306262646418477 -0.024452484740709792 -0.002590825516389551 0.0174897691432027 0.0 3335.0 1683.0 1010.0 731.0 652.0 640.0 440.0 522.0 374.0 341.0 279.0 349.0 305.0 296.0 189.0 274.0 252.0 142.0 225.0 105.0 84.0 152.0 120.0 124.0 99.0 111.0 138.0 86.0 63.0 132.0 147.0 114.0 55.0 109.0 145.0 97.0 159.0 62.0 83.0 108.0 78.0 72.0 102.0 92.0 63.0 85.0 52.0 75.0 54.0 55.0 157.0 60.0 109.0 90.0 131.0 72.0 22.0 76.0 40.0 55.0 45.0 68.0 19.0 82.0 75.0 92.0 146.0 26.0 82.0 68.0 56.0 44.0 42.0 37.0 42.0 64.0 80.0 68.0 37.0 50.0 25.0 22.0 35.0 34.0 81.0 32.0 21.0 52.0 37.0 40.0 8.0 31.0 33.0 11.0 44.0 11.0 17.0 47.0 13.0 33.0 40.0 40.0 40.0 71.0 21.0 58.0 62.0 95.0 30.0 53.0 58.0 92.0 15.0 4.0 7.0 33.0 26.0 21.0 21.0 0.0
