sigma segsites pi thetaW tajD het_o fis gen_dist_mean gen_dist_var gen_dist_skew gen_sp_corr ibs_mean ibs_var ibs_skew ibs_blocks_per_pair ibs_blocks_over_1e6_per_pair ibs_mean_spat_corr ibs_1e6blocks_spat_corr ibs_skew_spat_corr ibs_blocks_spat_corr sfs_0 sfs_1 sfs_2 sfs_3 sfs_4 sfs_5 sfs_6 sfs_7 sfs_8 sfs_9 sfs_10 sfs_11 sfs_12 sfs_13 sfs_14 sfs_15 sfs_16 sfs_17 sfs_18 sfs_19 sfs_20 sfs_21 sfs_22 sfs_23 sfs_24 sfs_25 sfs_26 sfs_27 sfs_28 sfs_29 sfs_30 sfs_31 sfs_32 sfs_33 sfs_34 sfs_35 sfs_36 sfs_37 sfs_38 sfs_39 sfs_40 sfs_41 sfs_42 sfs_43 sfs_44 sfs_45 sfs_46 sfs_47 sfs_48 sfs_49 sfs_50 sfs_51 sfs_52 sfs_53 sfs_54 sfs_55 sfs_56 sfs_57 sfs_58 sfs_59 sfs_60 sfs_61 sfs_62 sfs_63 sfs_64 sfs_65 sfs_66 sfs_67 sfs_68 sfs_69 sfs_70 sfs_71 sfs_72 sfs_73 sfs_74 sfs_75 sfs_76 sfs_77 sfs_78 sfs_79 sfs_80 sfs_81 sfs_82 sfs_83 sfs_84 sfs_85 sfs_86 sfs_87 sfs_88 sfs_89 sfs_90 sfs_91 sfs_92 sfs_93 sfs_94 sfs_95 sfs_96 sfs_97 sfs_98 sfs_99 sfs_100 sfs_101 sfs_102 sfs_103 sfs_104 sfs_105 sfs_106 sfs_107 sfs_108 sfs_109 sfs_110 sfs_111 sfs_112 sfs_113 sfs_114 sfs_115 sfs_116 sfs_117 sfs_118 sfs_119 sfs_120
0.43151409522956374 19999.0 2.3589005602240894e-05 2.421400123557784e-05 -0.08684832358637337 0.113394003033485 nan 2.3596728577592038e-05 6.798349106875112e-12 -0.7375076285793115 -0.0033073411714304784 42088.02743283365 15646497246.923716 106.73378416345712 2359.1445936395758 3.123957597173145 0.006153057101900118 0.0019376747303614969 0.01922197965525412 0.0004411370569465566 0.0 2333.0 993.0 939.0 650.0 491.0 464.0 393.0 326.0 362.0 310.0 319.0 185.0 203.0 151.0 182.0 162.0 123.0 205.0 162.0 117.0 83.0 130.0 79.0 152.0 112.0 123.0 71.0 64.0 72.0 36.0 69.0 72.0 80.0 65.0 40.0 35.0 44.0 58.0 95.0 29.0 73.0 37.0 56.0 63.0 45.0 31.0 27.0 49.0 53.0 64.0 66.0 33.0 55.0 22.0 28.0 38.0 42.0 76.0 26.0 66.0 19.0 37.0 48.0 44.0 18.0 35.0 19.0 14.0 29.0 50.0 21.0 35.0 11.0 21.0 13.0 25.0 39.0 17.0 48.0 6.0 42.0 47.0 25.0 12.0 14.0 31.0 22.0 42.0 33.0 8.0 9.0 11.0 9.0 51.0 34.0 17.0 30.0 23.0 12.0 21.0 48.0 63.0 12.0 23.0 21.0 0.0 39.0 17.0 54.0 11.0 36.0 12.0 12.0 15.0 2.0 4.0 2.0 0.0 38.0 7019.0
0.4484413510229385 19438.0 2.5632981792717086e-05 2.5980615963628084e-05 -0.045022894942955465 0.1310937339232431 nan 2.5634261043092418e-05 6.11818866458482e-12 -0.9747543329094208 -0.018343917310806798 38773.50920620097 14147203370.753193 132.42578270541605 2563.228551236749 3.0296819787985867 -0.009457468563659203 -0.013532286391931695 -0.009944556344500463 -0.008978160219774451 0.0 2699.0 1099.0 879.0 592.0 472.0 566.0 399.0 346.0 265.0 468.0 152.0 245.0 185.0 197.0 218.0 235.0 141.0 119.0 127.0 95.0 125.0 90.0 68.0 106.0 185.0 113.0 114.0 131.0 150.0 68.0 120.0 77.0 64.0 127.0 39.0 58.0 87.0 42.0 43.0 69.0 17.0 32.0 31.0 47.0 60.0 53.0 64.0 78.0 33.0 26.0 58.0 22.0 27.0 71.0 46.0 81.0 31.0 60.0 32.0 23.0 12.0 72.0 54.0 49.0 28.0 71.0 54.0 8.0 58.0 16.0 15.0 71.0 32.0 31.0 31.0 23.0 18.0 26.0 8.0 21.0 34.0 2.0 37.0 31.0 13.0 59.0 9.0 28.0 51.0 10.0 41.0 14.0 38.0 92.0 30.0 32.0 5.0 3.0 7.0 10.0 3.0 11.0 31.0 27.0 39.0 53.0 4.0 38.0 1.0 44.0 28.0 0.0 3.0 38.0 34.0 18.0 9.0 2.0 33.0 5511.0
0.2593670391638059 22719.0 2.74003781512605e-05 2.779013685719592e-05 -0.047192601105542666 0.12359845650483445 nan 2.7394615545262882e-05 7.494422689804802e-12 -0.4110314166154855 0.006925810566603754 36307.65070287149 13530081664.56163 174.5450457621341 2738.2325515682396 3.008476970895733 -0.013822143313270679 -0.008090207960095568 0.018371352025454434 0.003544538490338685 1.0 2955.0 1409.0 868.0 840.0 733.0 424.0 305.0 324.0 276.0 194.0 270.0 188.0 190.0 216.0 207.0 183.0 165.0 180.0 90.0 70.0 76.0 173.0 72.0 111.0 75.0 77.0 57.0 117.0 66.0 132.0 68.0 34.0 90.0 80.0 106.0 60.0 35.0 44.0 62.0 65.0 58.0 73.0 81.0 29.0 57.0 92.0 46.0 124.0 137.0 97.0 39.0 50.0 25.0 28.0 30.0 39.0 31.0 43.0 63.0 69.0 33.0 44.0 27.0 69.0 16.0 38.0 49.0 30.0 26.0 90.0 111.0 65.0 32.0 74.0 23.0 8.0 46.0 64.0 32.0 64.0 47.0 13.0 22.0 21.0 42.0 61.0 44.0 10.0 17.0 51.0 24.0 26.0 12.0 20.0 15.0 47.0 9.0 77.0 23.0 18.0 20.0 37.0 34.0 24.0 10.0 39.0 19.0 28.0 30.0 21.0 25.0 30.0 2.0 24.0 10.0 17.0 20.0 19.0 50.0 7821.0
0.29621955007524703 23786.0 2.7368298319327733e-05 2.838522671807029e-05 -0.12055058023020539 0.11629319767930714 nan 2.73658132856639e-05 7.27561237763723e-12 -0.39799084868184004 -0.03082843888794728 36325.958331398586 11672715032.41259 98.39388423738974 2736.9009047215154 3.073367260390161 -0.011986407530984212 0.004455418113989648 0.011795190159557958 -0.01951841919610827 0.0 3063.0 1552.0 930.0 738.0 540.0 464.0 291.0 238.0 254.0 354.0 350.0 299.0 197.0 193.0 183.0 156.0 166.0 139.0 193.0 187.0 117.0 122.0 125.0 110.0 142.0 91.0 93.0 53.0 79.0 42.0 88.0 75.0 75.0 56.0 114.0 101.0 74.0 52.0 43.0 55.0 109.0 138.0 60.0 65.0 66.0 34.0 81.0 31.0 42.0 37.0 64.0 30.0 17.0 85.0 49.0 57.0 21.0 80.0 61.0 13.0 47.0 76.0 17.0 40.0 32.0 46.0 26.0 28.0 49.0 3.0 15.0 21.0 63.0 20.0 52.0 33.0 25.0 51.0 75.0 43.0 39.0 30.0 29.0 51.0 49.0 17.0 29.0 11.0 22.0 21.0 16.0 16.0 56.0 35.0 62.0 11.0 51.0 47.0 14.0 32.0 36.0 20.0 40.0 14.0 26.0 19.0 23.0 36.0 23.0 34.0 27.0 25.0 8.0 14.0 29.0 23.0 16.0 63.0 6.0 8570.0
0.22223411986588568 27519.0 2.7881855742296922e-05 2.857364074925622e-05 -0.08146623362336648 0.10317356493089622 nan 2.7877529382241654e-05 8.10035008075729e-12 -0.936500894779881 -0.0034086910179077293 35635.384295081916 11537617140.031376 105.59147157328424 2786.511726476406 3.0474710370161064 0.009854967411161934 -0.012507936674867744 -0.005815461739767871 -0.0014575295125262549 2.0 3202.0 1383.0 1067.0 772.0 585.0 508.0 320.0 317.0 233.0 170.0 219.0 193.0 210.0 193.0 119.0 183.0 112.0 180.0 129.0 83.0 109.0 77.0 124.0 150.0 187.0 122.0 161.0 71.0 133.0 152.0 125.0 68.0 134.0 88.0 75.0 52.0 63.0 64.0 42.0 78.0 72.0 82.0 84.0 53.0 45.0 52.0 29.0 18.0 44.0 53.0 33.0 43.0 64.0 28.0 38.0 69.0 30.0 62.0 39.0 36.0 60.0 72.0 30.0 83.0 56.0 38.0 28.0 37.0 14.0 37.0 30.0 20.0 16.0 23.0 39.0 27.0 25.0 44.0 34.0 53.0 29.0 22.0 39.0 27.0 51.0 26.0 79.0 27.0 52.0 78.0 66.0 30.0 66.0 35.0 68.0 34.0 19.0 11.0 17.0 26.0 108.0 51.0 7.0 54.0 13.0 40.0 45.0 5.0 40.0 4.0 18.0 18.0 12.0 24.0 35.0 9.0 2.0 16.0 21.0 12200.0
0.43740338138291157 22448.0 2.914171568627451e-05 2.7157737287175825e-05 0.24581553858765834 0.12850068306010928 nan 2.9144222872399576e-05 8.463824566232143e-12 -0.7191273256216305 -0.019034060424501554 34080.25606327853 11209534220.899597 97.81312743085681 2913.406386887099 2.997456549385333 0.01418527439413533 0.0009618790167827397 -0.014919707492615052 -0.008819448378448176 1.0 2731.0 1173.0 725.0 603.0 472.0 391.0 595.0 506.0 242.0 305.0 224.0 204.0 127.0 162.0 119.0 125.0 144.0 161.0 180.0 103.0 124.0 187.0 126.0 126.0 93.0 65.0 82.0 85.0 109.0 176.0 83.0 101.0 99.0 56.0 47.0 62.0 153.0 51.0 85.0 98.0 132.0 100.0 71.0 103.0 105.0 91.0 85.0 56.0 53.0 121.0 74.0 45.0 56.0 37.0 49.0 79.0 16.0 44.0 75.0 91.0 69.0 47.0 27.0 51.0 30.0 18.0 47.0 26.0 47.0 36.0 37.0 30.0 52.0 22.0 54.0 30.0 38.0 39.0 61.0 72.0 16.0 36.0 54.0 12.0 26.0 15.0 28.0 36.0 26.0 92.0 26.0 21.0 16.0 17.0 6.0 29.0 29.0 65.0 10.0 26.0 38.0 42.0 14.0 3.0 5.0 14.0 9.0 0.0 14.0 10.0 21.0 23.0 16.0 0.0 16.0 56.0 14.0 20.0 41.0 7889.0
0.2588131961346842 24368.0 2.9393690476190477e-05 2.9776878869205965e-05 -0.043302200887182105 0.12151387065003284 nan 2.9391852813426103e-05 7.2496904111123555e-12 -0.5840861840675982 0.030397249220315316 33883.49370528883 10687242443.220423 117.90788674274927 2937.97640576434 2.743430347555807 0.00504120491679624 0.003767754672017041 0.0015779342698639318 0.014795788087676395 0.0 2960.0 1645.0 844.0 693.0 681.0 451.0 384.0 373.0 422.0 358.0 270.0 311.0 240.0 174.0 192.0 232.0 182.0 95.0 165.0 173.0 108.0 185.0 114.0 89.0 153.0 114.0 90.0 66.0 73.0 74.0 85.0 107.0 117.0 124.0 110.0 133.0 81.0 105.0 67.0 59.0 67.0 75.0 86.0 86.0 70.0 36.0 123.0 69.0 41.0 44.0 33.0 47.0 26.0 67.0 44.0 19.0 16.0 46.0 56.0 23.0 63.0 38.0 22.0 16.0 39.0 43.0 24.0 32.0 17.0 43.0 50.0 45.0 71.0 55.0 32.0 55.0 20.0 47.0 28.0 18.0 32.0 38.0 22.0 45.0 81.0 114.0 55.0 40.0 42.0 28.0 37.0 18.0 40.0 16.0 29.0 22.0 9.0 40.0 20.0 16.0 22.0 13.0 37.0 26.0 24.0 12.0 14.0 29.0 51.0 47.0 18.0 13.0 7.0 25.0 28.0 24.0 19.0 17.0 61.0 8406.0
0.2646238286469117 23180.0 3.077073389355743e-05 2.9603388721678328e-05 0.13268872008085797 0.13083117630140925 nan 3.077449686739627e-05 8.378962249079441e-12 -0.7189062423092181 -0.05417599536496359 32322.365026051328 9826710243.800179 116.64680141226991 3076.61042814752 2.80217606330366 0.010317937422951038 0.028572377329980542 0.03404003038909253 -0.026678548120537028 0.0 3026.0 1623.0 1031.0 444.0 467.0 427.0 330.0 376.0 307.0 343.0 258.0 270.0 243.0 171.0 218.0 224.0 189.0 173.0 121.0 164.0 114.0 151.0 134.0 119.0 103.0 164.0 208.0 112.0 50.0 88.0 69.0 107.0 114.0 67.0 92.0 113.0 80.0 69.0 113.0 108.0 75.0 59.0 84.0 93.0 71.0 39.0 54.0 61.0 42.0 102.0 105.0 86.0 62.0 30.0 70.0 40.0 36.0 18.0 76.0 78.0 36.0 32.0 46.0 41.0 36.0 52.0 39.0 105.0 72.0 91.0 19.0 49.0 28.0 23.0 47.0 34.0 62.0 37.0 44.0 25.0 56.0 15.0 27.0 34.0 25.0 34.0 31.0 54.0 16.0 45.0 24.0 42.0 81.0 27.0 11.0 16.0 15.0 25.0 13.0 41.0 27.0 65.0 57.0 30.0 38.0 14.0 5.0 48.0 26.0 17.0 13.0 18.0 1.0 6.0 0.0 0.0 22.0 14.0 57.0 7311.0
0.2610469916262857 30660.0 3.112440896358543e-05 3.046337751748737e-05 0.07301690084882625 0.09923842139595566 nan 3.113032313502445e-05 1.853476430222956e-11 -0.4414089645707247 0.013481814366227805 31905.959499764802 13565817327.83719 146.51190887210623 3114.5530260180994 4.813772624434389 -0.009847252894064797 -0.008043876535162786 0.008369094308261691 0.008658123761378912 1.0 2758.0 1692.0 1017.0 1075.0 416.0 494.0 289.0 327.0 273.0 308.0 346.0 258.0 192.0 248.0 183.0 220.0 93.0 121.0 220.0 133.0 131.0 176.0 178.0 95.0 52.0 85.0 61.0 98.0 137.0 99.0 63.0 62.0 55.0 39.0 44.0 93.0 17.0 60.0 70.0 44.0 101.0 60.0 49.0 83.0 103.0 83.0 85.0 69.0 87.0 44.0 82.0 81.0 70.0 40.0 52.0 30.0 94.0 109.0 49.0 69.0 67.0 102.0 108.0 35.0 48.0 43.0 88.0 67.0 58.0 45.0 39.0 26.0 59.0 46.0 73.0 76.0 23.0 28.0 67.0 19.0 42.0 21.0 21.0 66.0 13.0 16.0 31.0 44.0 32.0 59.0 68.0 66.0 30.0 28.0 13.0 18.0 70.0 58.0 25.0 15.0 36.0 15.0 27.0 25.0 53.0 40.0 15.0 65.0 69.0 46.0 9.0 32.0 17.0 78.0 24.0 37.0 36.0 49.0 42.0 14329.0
0.20595654321397314 26275.0 3.282702801120448e-05 3.1532300684512495e-05 0.1381674372481686 0.1298281002220108 nan 3.2816135265058986e-05 9.042669207540754e-12 -0.6989510134168019 0.030496708784186508 30297.06043877293 9178076636.081451 75.43086558217526 3281.4674957603165 3.0914358394573207 -0.0018410742239015794 -0.016428653524304452 -0.0038451610768091274 0.017144482970511406 1.0 3060.0 1512.0 916.0 652.0 616.0 558.0 395.0 476.0 358.0 306.0 273.0 306.0 315.0 275.0 187.0 237.0 235.0 128.0 187.0 117.0 108.0 134.0 112.0 155.0 84.0 94.0 133.0 71.0 73.0 115.0 118.0 109.0 65.0 116.0 131.0 77.0 143.0 58.0 100.0 80.0 85.0 67.0 79.0 90.0 55.0 72.0 61.0 75.0 48.0 42.0 154.0 51.0 119.0 80.0 118.0 82.0 29.0 66.0 30.0 61.0 42.0 51.0 17.0 64.0 64.0 68.0 112.0 30.0 64.0 40.0 44.0 24.0 45.0 39.0 41.0 62.0 56.0 47.0 37.0 49.0 14.0 9.0 28.0 28.0 64.0 36.0 21.0 59.0 25.0 45.0 8.0 25.0 33.0 7.0 39.0 11.0 14.0 48.0 11.0 32.0 49.0 38.0 39.0 55.0 20.0 43.0 57.0 83.0 33.0 38.0 53.0 99.0 17.0 4.0 5.0 23.0 10.0 14.0 21.0 9371.0
