sigma segsites pi thetaW tajD het_o fis gen_dist_mean gen_dist_var gen_dist_skew gen_sp_corr ibs_mean ibs_var ibs_skew ibs_blocks_per_pair ibs_blocks_over_1e6_per_pair ibs_mean_spat_corr ibs_1e6blocks_spat_corr ibs_skew_spat_corr ibs_blocks_spat_corr sfs_0 sfs_1 sfs_2 sfs_3 sfs_4 sfs_5 sfs_6 sfs_7 sfs_8 sfs_9 sfs_10 sfs_11 sfs_12 sfs_13 sfs_14 sfs_15 sfs_16 sfs_17 sfs_18 sfs_19 sfs_20 sfs_21 sfs_22 sfs_23 sfs_24 sfs_25 sfs_26 sfs_27 sfs_28 sfs_29 sfs_30 sfs_31 sfs_32 sfs_33 sfs_34 sfs_35 sfs_36 sfs_37 sfs_38 sfs_39 sfs_40 sfs_41 sfs_42 sfs_43 sfs_44 sfs_45 sfs_46 sfs_47 sfs_48 sfs_49 sfs_50 sfs_51 sfs_52 sfs_53 sfs_54 sfs_55 sfs_56 sfs_57 sfs_58 sfs_59 sfs_60 sfs_61 sfs_62 sfs_63 sfs_64 sfs_65 sfs_66 sfs_67 sfs_68 sfs_69 sfs_70 sfs_71 sfs_72 sfs_73 sfs_74 sfs_75 sfs_76 sfs_77 sfs_78 sfs_79 sfs_80 sfs_81 sfs_82 sfs_83 sfs_84 sfs_85 sfs_86 sfs_87 sfs_88 sfs_89 sfs_90 sfs_91 sfs_92 sfs_93 sfs_94 sfs_95 sfs_96 sfs_97 sfs_98 sfs_99 sfs_100 sfs_101 sfs_102 sfs_103 sfs_104 sfs_105 sfs_106 sfs_107 sfs_108 sfs_109 sfs_110 sfs_111 sfs_112 sfs_113 sfs_114 sfs_115 sfs_116 sfs_117 sfs_118 sfs_119 sfs_120
0.3175834836870827 21920.0 4.736638655462185e-05 4.089144122371851e-05 0.5328573918159486 0.13814628953771288 0.26784310628481556 4.751117184127246e-05 7.370729287186741e-11 -1.634329971879962 0.43035869283595546 20931.071565222785 5006193062.814549 100.36213437943996 4751.039282181716 2.035749611417267 -0.17906329317354142 -0.38620945879570595 -0.3181016697442493 0.32678493791043534 0.0 3616.0 1647.0 1213.0 1108.0 698.0 645.0 395.0 408.0 500.0 329.0 243.0 296.0 368.0 242.0 241.0 253.0 280.0 363.0 287.0 129.0 440.0 202.0 194.0 139.0 203.0 282.0 218.0 113.0 166.0 138.0 109.0 114.0 127.0 125.0 204.0 127.0 151.0 101.0 74.0 53.0 101.0 103.0 133.0 152.0 41.0 120.0 131.0 128.0 164.0 142.0 151.0 96.0 102.0 155.0 49.0 113.0 91.0 123.0 52.0 43.0 63.0 133.0 132.0 107.0 57.0 160.0 87.0 94.0 58.0 100.0 95.0 90.0 124.0 48.0 16.0 100.0 101.0 46.0 77.0 26.0 54.0 25.0 76.0 101.0 84.0 65.0 53.0 66.0 0.0 15.0 26.0 62.0 53.0 50.0 110.0 49.0 21.0 13.0 96.0 17.0 90.0 50.0 25.0 27.0 7.0 3.0 38.0 24.0 8.0 7.0 75.0 0.0 7.0 23.0 5.0 4.0 0.0 46.0 0.0 0.0
0.3189697891898884 22381.0 4.8804197478991603e-05 4.175143001952755e-05 0.5684564514480986 0.1264383480035149 0.31250587839774957 4.897797691135018e-05 9.805247493674488e-11 -1.2916483496778939 0.5980095841804108 20266.51006271503 5765941576.581285 183.25693832432324 4901.270155586987 2.557142857142857 -0.13642914592549643 -0.45431130044516627 -0.2804660868168033 0.4803995035288797 0.0 3106.0 1709.0 1315.0 919.0 573.0 483.0 680.0 535.0 616.0 437.0 397.0 384.0 353.0 236.0 250.0 328.0 213.0 222.0 146.0 235.0 316.0 285.0 183.0 268.0 210.0 178.0 202.0 107.0 194.0 210.0 241.0 158.0 305.0 242.0 208.0 176.0 145.0 75.0 83.0 149.0 100.0 96.0 173.0 105.0 105.0 77.0 95.0 51.0 96.0 88.0 66.0 164.0 139.0 120.0 91.0 141.0 170.0 46.0 85.0 29.0 100.0 61.0 194.0 123.0 52.0 97.0 94.0 64.0 35.0 64.0 90.0 26.0 49.0 26.0 67.0 23.0 60.0 12.0 47.0 52.0 28.0 20.0 76.0 27.0 117.0 120.0 125.0 74.0 104.0 63.0 79.0 31.0 57.0 11.0 95.0 32.0 37.0 66.0 92.0 16.0 14.0 13.0 9.0 53.0 35.0 16.0 35.0 25.0 43.0 7.0 86.0 43.0 67.0 8.0 1.0 114.0 28.0 6.0 63.0 0.0
0.3035299374791244 23755.0 4.973165826330532e-05 4.4314607037839106e-05 0.41136719966501667 0.11537781519680068 0.3509039862914862 4.992084130870119e-05 6.098629702643575e-11 -1.5072208818439896 0.4917938176963028 19937.396349670442 5201481154.722396 142.84267702733231 4992.88185415489 2.0100339174674957 -0.12946755408347368 -0.421211727964698 -0.4131940669126116 0.383386724401413 0.0 3354.0 2154.0 1301.0 763.0 963.0 830.0 791.0 632.0 317.0 481.0 541.0 430.0 478.0 451.0 343.0 362.0 289.0 227.0 386.0 129.0 176.0 274.0 177.0 132.0 188.0 104.0 144.0 128.0 167.0 172.0 153.0 128.0 188.0 84.0 146.0 61.0 76.0 122.0 83.0 163.0 81.0 164.0 133.0 178.0 97.0 94.0 201.0 168.0 160.0 139.0 300.0 169.0 117.0 65.0 95.0 91.0 112.0 132.0 62.0 66.0 89.0 130.0 64.0 23.0 62.0 25.0 121.0 101.0 211.0 106.0 75.0 94.0 134.0 57.0 42.0 96.0 50.0 32.0 16.0 87.0 27.0 64.0 11.0 17.0 89.0 17.0 42.0 48.0 14.0 69.0 20.0 19.0 39.0 42.0 22.0 26.0 11.0 120.0 16.0 12.0 66.0 22.0 55.0 43.0 29.0 111.0 53.0 8.0 78.0 11.0 8.0 9.0 55.0 8.0 68.0 1.0 19.0 24.0 35.0 0.0
0.26230559547790333 24500.0 5.0262613445378155e-05 4.570439370351749e-05 0.3356241626733486 0.11393061224489796 0.36177567496339197 5.0452016444632376e-05 7.109508352131386e-11 -1.4165678637929617 0.48621357800486265 19718.910917121906 4118191501.1964836 116.47129272088124 5047.270568278202 1.7169918009612666 -0.1685029590237942 -0.3509188559100298 -0.3523868481302105 0.37455134813772967 0.0 3275.0 2013.0 1615.0 1012.0 870.0 711.0 639.0 515.0 545.0 692.0 793.0 532.0 621.0 378.0 502.0 224.0 301.0 183.0 202.0 254.0 301.0 307.0 268.0 164.0 209.0 160.0 171.0 99.0 200.0 226.0 169.0 76.0 72.0 124.0 309.0 182.0 86.0 130.0 138.0 103.0 165.0 109.0 243.0 75.0 93.0 78.0 76.0 135.0 55.0 100.0 74.0 84.0 29.0 120.0 102.0 46.0 102.0 112.0 77.0 32.0 90.0 109.0 137.0 63.0 83.0 76.0 48.0 99.0 72.0 73.0 28.0 140.0 8.0 56.0 40.0 70.0 118.0 41.0 79.0 40.0 115.0 40.0 34.0 44.0 222.0 57.0 41.0 35.0 85.0 92.0 53.0 22.0 64.0 25.0 27.0 36.0 108.0 26.0 18.0 5.0 27.0 38.0 56.0 37.0 74.0 53.0 67.0 9.0 53.0 62.0 2.0 3.0 6.0 11.0 0.0 32.0 67.0 4.0 2.0 0.0
0.25457710447766063 24553.0 5.005543837535014e-05 4.580326443275367e-05 0.31241412560907217 0.11144938160985081 0.3450293897468026 5.024773678565822e-05 9.899826901598883e-11 -0.974213095578345 0.6294452694932589 19780.62924680424 5182950162.693106 205.70390281503123 5027.7158207267075 1.715537961261134 -0.18256672257120987 -0.4176168342762598 -0.315969444022531 0.5177112505062508 0.0 3780.0 1760.0 1537.0 1074.0 813.0 854.0 577.0 698.0 851.0 579.0 319.0 559.0 355.0 177.0 336.0 299.0 245.0 146.0 264.0 239.0 367.0 238.0 270.0 233.0 96.0 204.0 154.0 208.0 184.0 308.0 84.0 121.0 331.0 148.0 196.0 126.0 110.0 131.0 110.0 95.0 218.0 105.0 76.0 63.0 57.0 85.0 99.0 82.0 96.0 112.0 151.0 150.0 41.0 78.0 57.0 174.0 85.0 176.0 247.0 67.0 212.0 115.0 88.0 77.0 66.0 89.0 41.0 47.0 89.0 120.0 46.0 39.0 46.0 32.0 44.0 43.0 71.0 13.0 60.0 16.0 25.0 7.0 50.0 50.0 94.0 21.0 206.0 44.0 18.0 91.0 26.0 56.0 52.0 94.0 49.0 18.0 41.0 28.0 45.0 18.0 41.0 9.0 13.0 22.0 8.0 34.0 61.0 41.0 37.0 116.0 44.0 47.0 1.0 13.0 101.0 2.0 1.0 33.0 147.0 0.0
0.23442076545373475 26797.0 5.61197731092437e-05 4.9989413798904415e-05 0.41269581874274897 0.1095657474095359 0.3837902602807629 5.63465474591334e-05 1.3743708779273738e-10 -0.9452709313561743 0.5135812303816877 17692.84204068474 3775677138.4790044 112.60773259729359 5633.963261268899 1.6111346615797655 -0.18082322430195147 -0.4241191222336766 -0.3409584282633791 0.41623604447891366 0.0 3487.0 2631.0 1639.0 1136.0 839.0 894.0 892.0 814.0 606.0 573.0 361.0 596.0 333.0 315.0 338.0 182.0 377.0 307.0 211.0 165.0 151.0 139.0 198.0 133.0 54.0 96.0 77.0 187.0 164.0 224.0 275.0 277.0 202.0 222.0 96.0 326.0 203.0 128.0 37.0 161.0 182.0 141.0 160.0 207.0 142.0 207.0 178.0 86.0 106.0 97.0 137.0 234.0 91.0 58.0 156.0 71.0 142.0 111.0 49.0 46.0 88.0 103.0 136.0 15.0 121.0 57.0 23.0 169.0 103.0 82.0 76.0 89.0 109.0 242.0 88.0 133.0 98.0 104.0 72.0 73.0 33.0 30.0 114.0 102.0 33.0 107.0 40.0 127.0 66.0 47.0 31.0 96.0 17.0 23.0 8.0 23.0 19.0 26.0 16.0 78.0 89.0 34.0 129.0 25.0 142.0 80.0 49.0 179.0 15.0 11.0 44.0 129.0 45.0 96.0 12.0 8.0 19.0 15.0 12.0 0.0
0.20663835143683418 26659.0 5.454285434173669e-05 4.973197680579889e-05 0.3255445402246957 0.07000762719281794 0.5750130049151689 5.4846917530626864e-05 1.8276676138032662e-10 -0.7402994651237388 0.5781202823109238 18172.493395203084 3937770954.1319094 237.94740453850136 5483.7813736574335 1.8224985867721877 -0.18233540814653348 -0.48694469327059636 -0.3518363354550028 0.5146673214517371 0.0 3209.0 2597.0 1031.0 1346.0 749.0 867.0 921.0 705.0 978.0 581.0 611.0 511.0 439.0 318.0 350.0 418.0 436.0 483.0 367.0 233.0 217.0 276.0 223.0 219.0 216.0 301.0 195.0 121.0 122.0 234.0 156.0 144.0 93.0 102.0 93.0 178.0 119.0 226.0 143.0 103.0 34.0 118.0 162.0 142.0 137.0 128.0 67.0 158.0 126.0 157.0 113.0 83.0 11.0 106.0 42.0 123.0 74.0 112.0 35.0 22.0 47.0 120.0 75.0 97.0 37.0 71.0 35.0 74.0 112.0 193.0 167.0 111.0 66.0 150.0 210.0 77.0 149.0 68.0 13.0 30.0 38.0 82.0 18.0 96.0 21.0 17.0 9.0 36.0 26.0 48.0 15.0 64.0 87.0 114.0 13.0 5.0 24.0 94.0 82.0 94.0 155.0 235.0 63.0 2.0 39.0 0.0 4.0 1.0 27.0 23.0 278.0 13.0 180.0 9.0 0.0 40.0 13.0 105.0 6.0 0.0
0.27331142128988584 27657.0 5.903493557422969e-05 5.159373129217074e-05 0.48536734256450564 0.10612021067601933 0.39203174291938986 5.928650505685246e-05 1.490884197936234e-10 -1.166442996280949 0.5367557289757225 16791.70401069466 4116539685.7851453 183.71691075416015 5928.38081107814 1.897272855729829 -0.18343738553030542 -0.4118325145463309 -0.3175389432277033 0.4478656058414769 0.0 3974.0 2279.0 1536.0 1513.0 1028.0 1144.0 464.0 339.0 441.0 478.0 412.0 533.0 335.0 276.0 261.0 440.0 221.0 221.0 225.0 273.0 199.0 167.0 420.0 309.0 216.0 254.0 279.0 209.0 240.0 173.0 260.0 217.0 96.0 184.0 139.0 178.0 212.0 245.0 174.0 179.0 172.0 158.0 204.0 244.0 248.0 217.0 108.0 159.0 99.0 120.0 139.0 106.0 87.0 121.0 113.0 64.0 56.0 72.0 129.0 111.0 106.0 39.0 51.0 55.0 55.0 104.0 64.0 131.0 63.0 133.0 80.0 84.0 67.0 114.0 124.0 144.0 62.0 88.0 71.0 148.0 34.0 141.0 192.0 103.0 63.0 73.0 60.0 79.0 83.0 68.0 18.0 97.0 69.0 78.0 33.0 70.0 100.0 21.0 13.0 37.0 85.0 23.0 6.0 67.0 21.0 45.0 58.0 128.0 3.0 11.0 12.0 0.0 51.0 124.0 51.0 22.0 159.0 71.0 35.0 0.0
0.25424476753780156 27458.0 6.083517927170867e-05 5.122249968617074e-05 0.6315496379794925 0.10973365382280817 0.4136891011876609 6.109538639469586e-05 1.3823088645001567e-10 -1.2628459755041332 0.5754629567628364 16311.471084807179 3498069401.076902 155.02835821239626 6109.648014695493 1.5718524798643494 -0.15493531344497768 -0.3997695024780776 -0.28006565250021365 0.48547092033763845 0.0 3265.0 2418.0 1120.0 1379.0 1065.0 877.0 478.0 642.0 480.0 640.0 376.0 535.0 399.0 359.0 408.0 311.0 482.0 400.0 388.0 395.0 333.0 396.0 407.0 229.0 333.0 216.0 259.0 323.0 185.0 96.0 455.0 100.0 164.0 252.0 94.0 239.0 178.0 140.0 249.0 76.0 153.0 133.0 102.0 143.0 162.0 188.0 112.0 74.0 88.0 115.0 69.0 175.0 104.0 160.0 217.0 144.0 157.0 122.0 137.0 33.0 79.0 68.0 156.0 99.0 192.0 110.0 56.0 121.0 61.0 30.0 65.0 19.0 53.0 43.0 52.0 78.0 72.0 77.0 40.0 17.0 157.0 59.0 49.0 77.0 60.0 109.0 73.0 17.0 233.0 12.0 30.0 54.0 39.0 87.0 104.0 32.0 106.0 100.0 142.0 73.0 80.0 78.0 102.0 7.0 61.0 38.0 23.0 84.0 12.0 23.0 11.0 0.0 6.0 35.0 6.0 0.0 6.0 23.0 33.0 0.0
0.21360169357377265 28009.0 6.224120728291317e-05 5.225038217313557e-05 0.6434828277479193 0.07511395146798053 0.5537441412144407 6.25903807300284e-05 2.914233931080207e-10 -1.544488131134149 0.7168975496097274 15888.931626783185 4312191861.578229 124.68424534917668 6258.04987989261 2.1975413310724883 -0.23762828561200436 -0.5806582813632538 -0.2877260703780062 0.6595243652296132 0.0 3262.0 2216.0 1059.0 1397.0 1225.0 747.0 399.0 1233.0 470.0 587.0 365.0 608.0 628.0 234.0 179.0 102.0 167.0 104.0 326.0 257.0 441.0 192.0 212.0 427.0 498.0 378.0 134.0 178.0 159.0 283.0 228.0 368.0 338.0 100.0 279.0 247.0 296.0 152.0 146.0 185.0 154.0 302.0 137.0 186.0 258.0 345.0 125.0 86.0 74.0 57.0 131.0 115.0 78.0 94.0 60.0 120.0 84.0 72.0 77.0 43.0 74.0 75.0 64.0 106.0 77.0 56.0 103.0 101.0 121.0 48.0 62.0 33.0 29.0 213.0 188.0 162.0 52.0 107.0 79.0 69.0 63.0 61.0 46.0 122.0 143.0 20.0 141.0 169.0 74.0 137.0 34.0 50.0 37.0 44.0 138.0 57.0 7.0 31.0 66.0 20.0 38.0 3.0 26.0 9.0 33.0 43.0 127.0 45.0 56.0 133.0 51.0 429.0 36.0 30.0 51.0 26.0 21.0 133.0 36.0 0.0
