sigma segsites pi thetaW tajD het_o fis gen_dist_mean gen_dist_var gen_dist_skew gen_sp_corr ibs_mean ibs_var ibs_skew ibs_blocks_per_pair ibs_blocks_over_1e6_per_pair ibs_mean_spat_corr ibs_1e6blocks_spat_corr ibs_skew_spat_corr ibs_blocks_spat_corr sfs_0 sfs_1 sfs_2 sfs_3 sfs_4 sfs_5 sfs_6 sfs_7 sfs_8 sfs_9 sfs_10 sfs_11 sfs_12 sfs_13 sfs_14 sfs_15 sfs_16 sfs_17 sfs_18 sfs_19 sfs_20 sfs_21 sfs_22 sfs_23 sfs_24 sfs_25 sfs_26 sfs_27 sfs_28 sfs_29 sfs_30 sfs_31 sfs_32 sfs_33 sfs_34 sfs_35 sfs_36 sfs_37 sfs_38 sfs_39 sfs_40 sfs_41 sfs_42 sfs_43 sfs_44 sfs_45 sfs_46 sfs_47 sfs_48 sfs_49 sfs_50 sfs_51 sfs_52 sfs_53 sfs_54 sfs_55 sfs_56 sfs_57 sfs_58 sfs_59 sfs_60 sfs_61 sfs_62 sfs_63 sfs_64 sfs_65 sfs_66 sfs_67 sfs_68 sfs_69 sfs_70 sfs_71 sfs_72 sfs_73 sfs_74 sfs_75 sfs_76 sfs_77 sfs_78 sfs_79 sfs_80 sfs_81 sfs_82 sfs_83 sfs_84 sfs_85 sfs_86 sfs_87 sfs_88 sfs_89 sfs_90 sfs_91 sfs_92 sfs_93 sfs_94 sfs_95 sfs_96 sfs_97 sfs_98 sfs_99 sfs_100 sfs_101 sfs_102 sfs_103 sfs_104 sfs_105 sfs_106 sfs_107 sfs_108 sfs_109 sfs_110 sfs_111 sfs_112 sfs_113 sfs_114 sfs_115 sfs_116 sfs_117 sfs_118 sfs_119 sfs_120
0.3175834836870827 30027.0 4.390900840336135e-05 3.77443672572763e-05 0.5496119194104687 0.09348863800357456 nan 4.404322131098022e-05 6.416956913848012e-11 -1.6110249781412147 0.4229720483070811 22577.984042272943 6318821944.465019 156.7078363932139 4403.767980782817 2.163204747774481 -0.1301566211438567 -0.39177760145800405 -0.35640347607154993 0.3215761228436443 1.0 3199.0 1497.0 1179.0 1048.0 643.0 568.0 346.0 367.0 481.0 302.0 220.0 307.0 348.0 261.0 220.0 265.0 245.0 341.0 302.0 115.0 436.0 192.0 173.0 118.0 168.0 277.0 152.0 128.0 179.0 119.0 91.0 126.0 96.0 131.0 182.0 110.0 134.0 78.0 86.0 45.0 97.0 119.0 124.0 129.0 41.0 104.0 109.0 101.0 133.0 130.0 142.0 88.0 94.0 125.0 54.0 99.0 111.0 117.0 48.0 46.0 59.0 142.0 113.0 87.0 55.0 151.0 66.0 79.0 71.0 96.0 105.0 76.0 113.0 50.0 15.0 93.0 101.0 47.0 68.0 29.0 50.0 21.0 87.0 67.0 61.0 59.0 49.0 66.0 0.0 24.0 19.0 47.0 54.0 48.0 72.0 35.0 20.0 18.0 87.0 20.0 84.0 58.0 29.0 30.0 5.0 5.0 33.0 22.0 4.0 6.0 60.0 0.0 16.0 24.0 5.0 3.0 0.0 43.0 0.0 9793.0
0.3189697891898884 32547.0 4.45205462184874e-05 3.8514812751135596e-05 0.524735596337017 0.0788101309900554 nan 4.468046283003153e-05 8.400881619135643e-11 -1.2491015761210147 0.6009965978190137 22192.35849121109 7110766174.071832 272.266322685524 4471.71630603875 2.67303068872861 -0.15126295890668923 -0.4305473912523581 -0.28313080935749346 0.48743652329233267 0.0 2988.0 1601.0 1112.0 829.0 524.0 447.0 616.0 518.0 612.0 387.0 381.0 380.0 366.0 231.0 228.0 285.0 174.0 239.0 97.0 223.0 308.0 265.0 156.0 248.0 216.0 133.0 176.0 104.0 170.0 174.0 215.0 126.0 280.0 199.0 167.0 156.0 128.0 95.0 71.0 186.0 96.0 62.0 140.0 73.0 102.0 66.0 76.0 54.0 78.0 73.0 61.0 153.0 108.0 98.0 95.0 162.0 150.0 33.0 55.0 25.0 92.0 60.0 152.0 120.0 44.0 95.0 74.0 67.0 26.0 62.0 83.0 29.0 33.0 32.0 74.0 31.0 48.0 14.0 48.0 49.0 31.0 18.0 60.0 21.0 94.0 119.0 119.0 75.0 122.0 65.0 77.0 37.0 37.0 12.0 89.0 33.0 36.0 70.0 81.0 28.0 8.0 17.0 7.0 37.0 39.0 32.0 44.0 15.0 29.0 4.0 70.0 33.0 58.0 9.0 3.0 127.0 27.0 8.0 51.0 11901.0
0.3035299374791244 33465.0 4.494823669467787e-05 4.090823059283408e-05 0.3323369773732453 0.07416654215847403 nan 4.5118815932992636e-05 4.949585553286529e-11 -1.5006761098017667 0.5039804874185033 22037.065465003987 6168219084.670559 232.13051317484593 4510.633512291608 2.0487425826504664 -0.1293358801431178 -0.4141344942192212 -0.4051092815135261 0.3987742359297601 2.0 3195.0 1974.0 1200.0 689.0 907.0 816.0 736.0 600.0 331.0 467.0 517.0 389.0 384.0 446.0 311.0 351.0 271.0 240.0 324.0 126.0 164.0 271.0 161.0 138.0 181.0 112.0 117.0 88.0 140.0 179.0 133.0 141.0 188.0 89.0 142.0 71.0 67.0 129.0 73.0 126.0 69.0 114.0 126.0 145.0 84.0 73.0 207.0 150.0 124.0 126.0 236.0 121.0 109.0 67.0 88.0 80.0 88.0 127.0 52.0 38.0 69.0 127.0 58.0 26.0 57.0 26.0 88.0 82.0 175.0 84.0 69.0 88.0 123.0 51.0 30.0 70.0 38.0 38.0 11.0 61.0 31.0 54.0 16.0 14.0 103.0 12.0 46.0 49.0 28.0 55.0 16.0 20.0 42.0 32.0 24.0 26.0 10.0 120.0 11.0 13.0 62.0 17.0 42.0 40.0 28.0 108.0 48.0 4.0 54.0 18.0 2.0 8.0 35.0 10.0 67.0 1.0 19.0 32.0 32.0 11535.0
0.26230559547790333 35574.0 4.4898161064425776e-05 4.126267282971851e-05 0.2964923066535528 0.06991576244822997 nan 4.5067875255535936e-05 5.598950159922429e-11 -1.4464792674249254 0.4854252920423221 22086.682692607996 6219072451.632552 287.54929793349794 4508.175855244557 1.7554424653661296 -0.13733512955723157 -0.3503942863021988 -0.3139496252758734 0.37786640248320397 2.0 2856.0 1813.0 1504.0 958.0 789.0 651.0 548.0 539.0 490.0 701.0 686.0 466.0 543.0 339.0 506.0 221.0 239.0 178.0 200.0 206.0 282.0 298.0 263.0 158.0 218.0 144.0 129.0 94.0 166.0 192.0 155.0 96.0 61.0 114.0 269.0 152.0 64.0 143.0 106.0 82.0 142.0 111.0 204.0 67.0 97.0 88.0 53.0 118.0 60.0 81.0 62.0 82.0 40.0 107.0 82.0 44.0 81.0 111.0 61.0 6.0 72.0 110.0 113.0 49.0 69.0 66.0 36.0 60.0 63.0 56.0 23.0 105.0 4.0 49.0 61.0 53.0 98.0 47.0 76.0 41.0 87.0 28.0 31.0 43.0 187.0 51.0 28.0 48.0 65.0 80.0 46.0 22.0 61.0 22.0 22.0 33.0 91.0 29.0 22.0 1.0 25.0 36.0 33.0 16.0 81.0 46.0 50.0 6.0 52.0 57.0 2.0 1.0 9.0 6.0 0.0 30.0 91.0 7.0 7.0 13453.0
0.25457710447766063 34071.0 4.540657422969188e-05 4.101456326389941e-05 0.3603569281030467 0.07283320125620028 nan 4.5581078640234417e-05 8.102176887472086e-11 -0.9721323053499545 0.6321016341557547 21815.736326739967 6100559610.395121 197.26156923707669 4560.255761345964 2.11466138837834 -0.16933271527022117 -0.4216658660528708 -0.32666886247573307 0.5194356250702833 0.0 3387.0 1587.0 1264.0 874.0 731.0 738.0 504.0 662.0 751.0 485.0 292.0 436.0 345.0 177.0 330.0 262.0 252.0 133.0 241.0 204.0 339.0 198.0 266.0 207.0 114.0 225.0 105.0 168.0 164.0 255.0 69.0 102.0 340.0 130.0 194.0 131.0 101.0 118.0 92.0 73.0 196.0 98.0 90.0 63.0 58.0 82.0 98.0 69.0 98.0 95.0 130.0 101.0 29.0 87.0 42.0 149.0 99.0 173.0 212.0 60.0 167.0 124.0 86.0 84.0 56.0 96.0 35.0 51.0 96.0 85.0 43.0 31.0 41.0 28.0 31.0 35.0 55.0 12.0 60.0 11.0 31.0 7.0 38.0 42.0 92.0 10.0 181.0 32.0 18.0 71.0 27.0 71.0 50.0 90.0 41.0 13.0 42.0 24.0 55.0 19.0 39.0 7.0 13.0 20.0 2.0 19.0 54.0 53.0 31.0 129.0 45.0 50.0 1.0 13.0 85.0 8.0 1.0 14.0 146.0 12085.0
0.20663835143683418 35960.0 4.80185350140056e-05 4.3628108389557695e-05 0.3386513205687811 0.045781423804226916 nan 4.828595431940034e-05 1.4437286682236423e-10 -0.6704977746271225 0.5838358166227998 20624.281006709654 4983569519.386329 275.3551935532195 4829.191916336914 1.9474279253815716 -0.1558473243607771 -0.5101704058688341 -0.3895262296747153 0.520560255862499 5.0 2769.0 2172.0 892.0 1179.0 614.0 730.0 893.0 660.0 912.0 505.0 527.0 421.0 382.0 295.0 356.0 403.0 353.0 441.0 311.0 240.0 185.0 253.0 236.0 184.0 165.0 260.0 165.0 111.0 86.0 174.0 137.0 97.0 69.0 83.0 72.0 175.0 131.0 198.0 110.0 82.0 26.0 83.0 139.0 163.0 104.0 84.0 48.0 147.0 89.0 123.0 105.0 92.0 19.0 109.0 41.0 130.0 41.0 103.0 32.0 24.0 49.0 111.0 59.0 81.0 25.0 67.0 26.0 87.0 89.0 172.0 144.0 103.0 58.0 148.0 177.0 76.0 131.0 62.0 15.0 24.0 25.0 58.0 31.0 90.0 17.0 22.0 3.0 34.0 20.0 32.0 14.0 36.0 74.0 97.0 17.0 5.0 14.0 78.0 56.0 73.0 204.0 210.0 53.0 43.0 30.0 0.0 1.0 1.0 38.0 15.0 218.0 8.0 178.0 9.0 0.0 34.0 19.0 91.0 4.0 12569.0
0.23442076545373475 36821.0 5.028173529411764e-05 4.479776777127628e-05 0.4119579932805828 0.07127228121633487 nan 5.048545147254661e-05 1.1092046703352177e-10 -0.9424254781585906 0.5169548446074741 19721.663653145028 4772588062.780009 137.37644974133286 5049.342049469965 1.8186572438162545 -0.1350812803224712 -0.4165846628497714 -0.3418536413755802 0.416197814436009 1.0 3011.0 2410.0 1494.0 953.0 808.0 825.0 788.0 771.0 575.0 549.0 310.0 566.0 314.0 272.0 303.0 156.0 309.0 278.0 219.0 158.0 111.0 119.0 178.0 106.0 41.0 71.0 82.0 161.0 140.0 221.0 213.0 212.0 216.0 172.0 96.0 287.0 175.0 108.0 40.0 141.0 162.0 139.0 120.0 172.0 122.0 172.0 178.0 84.0 120.0 135.0 135.0 206.0 87.0 39.0 142.0 68.0 132.0 94.0 42.0 36.0 70.0 98.0 103.0 18.0 116.0 53.0 24.0 138.0 74.0 98.0 85.0 88.0 111.0 221.0 67.0 115.0 76.0 83.0 79.0 73.0 20.0 26.0 96.0 91.0 33.0 107.0 36.0 102.0 67.0 54.0 15.0 85.0 16.0 14.0 4.0 27.0 13.0 13.0 17.0 50.0 70.0 26.0 92.0 17.0 150.0 77.0 35.0 165.0 20.0 7.0 42.0 112.0 25.0 82.0 18.0 3.0 22.0 17.0 14.0 12806.0
0.27331142128988584 37334.0 5.364515686274511e-05 4.7019560950904425e-05 0.47420304148555203 0.07146256316851485 nan 5.387367601493556e-05 1.2171926026678822e-10 -1.1992655495411073 0.541196070515436 18461.161779574188 4837925275.490308 232.7342726162028 5387.500141322781 2.1475409836065573 -0.145587559765341 -0.4061156562532014 -0.3062805958620363 0.4509790095107791 2.0 3595.0 2147.0 1376.0 1361.0 920.0 1086.0 473.0 296.0 365.0 427.0 351.0 492.0 331.0 292.0 248.0 349.0 203.0 182.0 189.0 211.0 168.0 189.0 368.0 303.0 215.0 251.0 227.0 195.0 238.0 167.0 237.0 188.0 75.0 193.0 124.0 176.0 197.0 236.0 135.0 169.0 158.0 149.0 155.0 177.0 216.0 191.0 88.0 148.0 107.0 115.0 135.0 105.0 66.0 111.0 123.0 58.0 42.0 66.0 107.0 111.0 88.0 43.0 43.0 52.0 67.0 97.0 62.0 105.0 78.0 123.0 72.0 69.0 59.0 101.0 107.0 113.0 50.0 73.0 70.0 151.0 34.0 133.0 174.0 91.0 60.0 65.0 42.0 63.0 79.0 58.0 11.0 102.0 67.0 43.0 30.0 78.0 117.0 25.0 20.0 45.0 63.0 26.0 6.0 65.0 17.0 32.0 39.0 90.0 1.0 5.0 20.0 0.0 41.0 119.0 57.0 30.0 149.0 79.0 32.0 12128.0
0.21360169357377265 36833.0 5.5180675070028025e-05 4.64449914300602e-05 0.6329582878697045 0.05013077041421189 nan 5.549182712869755e-05 2.3577769338469665e-10 -1.4802672034908568 0.7095999857487227 17898.41509302406 5399515103.997926 180.09400459971522 5548.779285007771 2.43097357637417 -0.2024893829276928 -0.5841571796846095 -0.2867828195937395 0.6526241771194699 0.0 2788.0 2014.0 872.0 1153.0 1110.0 675.0 435.0 1169.0 430.0 500.0 340.0 592.0 504.0 190.0 170.0 93.0 133.0 70.0 314.0 258.0 379.0 149.0 165.0 354.0 436.0 327.0 126.0 154.0 169.0 263.0 194.0 302.0 316.0 82.0 249.0 238.0 251.0 135.0 108.0 175.0 148.0 246.0 138.0 152.0 239.0 307.0 114.0 90.0 64.0 47.0 142.0 109.0 72.0 89.0 51.0 90.0 74.0 62.0 67.0 39.0 67.0 71.0 47.0 81.0 58.0 49.0 80.0 80.0 104.0 43.0 37.0 27.0 44.0 220.0 167.0 118.0 35.0 85.0 68.0 68.0 35.0 46.0 33.0 123.0 120.0 21.0 154.0 137.0 61.0 100.0 34.0 28.0 40.0 43.0 140.0 55.0 6.0 29.0 71.0 17.0 30.0 6.0 14.0 10.0 32.0 33.0 145.0 39.0 39.0 143.0 48.0 441.0 96.0 38.0 46.0 14.0 25.0 105.0 29.0 11936.0
0.25424476753780156 37754.0 5.554159523809524e-05 4.677145138508533e-05 0.6310204768695116 0.07310395366495383 nan 5.577839068515394e-05 1.1190710530440831e-10 -1.3203448613659035 0.5804147206986012 17863.974216015336 4111183619.63055 207.17823475480103 5576.636286562102 1.6783948000565212 -0.1311178269402546 -0.39168543440773906 -0.22664715039268965 0.4893092604668955 0.0 3023.0 2124.0 1027.0 1198.0 974.0 802.0 466.0 624.0 447.0 565.0 332.0 452.0 409.0 363.0 383.0 261.0 470.0 353.0 370.0 324.0 293.0 384.0 362.0 199.0 314.0 189.0 252.0 306.0 190.0 117.0 369.0 124.0 161.0 230.0 96.0 197.0 148.0 112.0 230.0 72.0 112.0 115.0 73.0 113.0 166.0 155.0 111.0 55.0 70.0 85.0 55.0 166.0 112.0 183.0 214.0 118.0 135.0 109.0 120.0 35.0 69.0 67.0 122.0 110.0 212.0 118.0 33.0 93.0 41.0 31.0 45.0 14.0 53.0 47.0 43.0 67.0 69.0 75.0 44.0 21.0 141.0 57.0 30.0 83.0 49.0 82.0 75.0 16.0 209.0 4.0 24.0 63.0 54.0 66.0 127.0 35.0 96.0 89.0 125.0 71.0 76.0 61.0 92.0 6.0 50.0 57.0 21.0 65.0 4.0 35.0 9.0 0.0 3.0 27.0 9.0 3.0 10.0 14.0 46.0 12682.0
